,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
0,16-10-2020,3319.0,3393.85,3315.0,3346.5,28781.0,78.85,-27.5
1,15-10-2020,3315.0,3380.0,3290.0,3311.35,45227.0,90.0,3.65
2,14-10-2020,3282.0,3331.45,3270.5,3310.1,26660.0,60.95,-28.1
3,13-10-2020,3285.0,3300.5,3258.1,3288.3,20275.0,42.4,-3.3
4,12-10-2020,3345.0,3355.0,3275.25,3283.2,30033.0,79.75,61.8
5,09-10-2020,3300.0,3336.7,3270.0,3330.35,26852.0,66.7,-30.35
6,08-10-2020,3240.0,3292.0,3239.0,3278.05,29594.0,53.0,-38.05
7,07-10-2020,3138.7,3249.75,3138.7,3232.7,72405.0,111.05,-94.0
8,06-10-2020,3150.0,3177.7,3117.35,3138.7,32294.0,60.35,11.3
9,05-10-2020,3215.0,3230.0,3095.0,3128.7,36161.0,135.0,86.3
10,01-10-2020,3190.0,3197.5,3114.35,3151.7,27033.0,83.15,38.3
11,30-09-2020,3208.0,3208.0,3135.0,3145.85,23647.0,73.0,62.15
12,29-09-2020,3113.7,3221.6,3103.1,3175.85,69659.0,118.5,-62.15
13,28-09-2020,3054.0,3095.0,2999.3,3088.6,44058.0,95.7,-34.6
14,25-09-2020,2926.0,3015.0,2926.0,3000.45,26181.0,89.0,-74.45
15,24-09-2020,2910.0,2947.3,2901.4,2918.15,265796.0,45.9,-8.15
16,23-09-2020,2997.0,3041.0,2925.3,2958.35,44722.0,115.7,38.65
17,22-09-2020,3020.2,3050.0,2961.0,3000.7,26106.0,89.0,19.5
18,21-09-2020,3114.25,3131.65,3035.5,3053.2,59766.0,96.15,61.05
19,18-09-2020,3087.0,3122.3,3076.7,3114.25,40811.0,45.6,-27.25
20,17-09-2020,3048.0,3098.45,3040.0,3062.05,12082.0,58.45,-14.05
21,16-09-2020,3000.0,3104.5,3000.0,3055.55,51096.0,104.5,-55.55
22,15-09-2020,3023.0,3053.75,3008.85,3038.45,15446.0,44.9,-15.45
23,14-09-2020,3010.0,3038.35,2956.0,3027.6,47601.0,82.35,-17.6
24,11-09-2020,2950.0,3007.25,2949.8,2991.4,52830.0,57.45,-41.4
25,10-09-2020,2927.7,2956.75,2890.0,2948.55,34410.0,66.75,-20.85
26,09-09-2020,2859.0,2920.0,2833.55,2903.35,44897.0,86.45,-44.35
27,08-09-2020,2920.0,2920.0,2852.05,2862.45,32578.0,67.95,57.55
28,07-09-2020,2920.0,2934.75,2853.05,2859.75,66071.0,81.7,60.25
29,04-09-2020,2915.0,2975.65,2872.0,2914.75,53699.0,103.65,0.25
30,03-09-2020,2985.0,3005.0,2932.9,2941.25,43584.0,72.1,43.75
31,02-09-2020,3055.0,3055.0,2878.0,2946.0,58033.0,177.0,109.0
32,01-09-2020,3022.3,3071.6,2977.0,2995.25,281084.0,94.6,27.05
33,31-08-2020,3072.35,3090.0,2965.6,3007.1,51431.0,124.4,65.25
34,28-08-2020,3137.0,3164.1,3053.0,3059.35,42002.0,111.1,77.65
35,27-08-2020,3160.0,3160.0,3108.0,3141.15,54656.0,52.0,18.85
36,26-08-2020,3103.0,3179.55,3070.0,3161.95,135458.0,109.55,-58.95
37,25-08-2020,3054.95,3054.95,2958.7,2971.05,22216.0,96.25,83.9
38,24-08-2020,3038.0,3075.05,3000.7,3014.05,53109.0,74.35,23.95
39,21-08-2020,2960.15,3049.4,2958.55,3035.35,65008.0,90.85,-75.2
40,20-08-2020,2915.0,2962.95,2895.0,2956.75,36391.0,67.95,-41.75
41,19-08-2020,2937.0,2998.95,2921.55,2934.45,48389.0,77.4,2.55
42,18-08-2020,2936.5,2963.0,2907.0,2923.5,60090.0,56.0,13.0
43,17-08-2020,2810.0,2933.0,2810.0,2927.35,117784.0,123.0,-117.35
44,14-08-2020,2790.0,2841.0,2757.65,2805.45,95452.0,83.35,-15.45
45,13-08-2020,2794.8,2820.0,2748.2,2811.25,35852.0,71.8,-16.45
46,12-08-2020,2712.0,2794.45,2709.85,2773.9,87151.0,84.6,-61.9
47,11-08-2020,2715.05,2775.0,2703.8,2712.9,41010.0,71.2,2.15
48,10-08-2020,2725.0,2725.0,2674.05,2701.85,26361.0,50.95,23.15
49,07-08-2020,2724.0,2724.0,2670.7,2705.65,18888.0,53.3,18.35
50,06-08-2020,2702.2,2734.0,2674.6,2704.35,31594.0,59.4,-2.15
51,05-08-2020,2717.7,2739.0,2673.0,2697.4,49076.0,66.0,20.3
52,04-08-2020,2652.55,2731.0,2641.65,2706.25,47110.0,89.35,-53.7
53,03-08-2020,2705.0,2800.0,2622.5,2630.75,62750.0,177.5,74.25
54,31-07-2020,2704.0,2708.3,2647.6,2677.2,33056.0,60.7,26.8
